,id,Emotion,Text
234,235,1," Oh , Jim . I told you . No pets . It'll make a mess of this house . "
236,237,1, No way . It might belong to somebody else . You can't keep it here . 
240,241,1,How slowly you drive ! 
248,249,1," Oh , my dear sister , I am no longer a baby ! "
262,263,1, Get out of it ! It wasn't as good as you think . 
265,266,1, It ’ s because of my son . Dick keeps getting on my nerves 
267,268,1," Yes , he used to be . But now he ’ s drifting off track . "
286,287,6, What ? Are you serious ? 
288,289,1, But nobody uses Macintosh ! 
300,301,1, What ? You're overcharging me ! 
303,304,1,Ouch ! I'm hurt . 
314,315,1, That's sheer robbery ! 
327,328,1," You just cut into line , in front of me and everyone else , that's what ! Go take your place back at the end of the line , like every - one else ! "
328,329,1," Oh sure , lady , and fat chance I'd get a ticket before they're sold out . I'm staying right here , understand ? So be a nice lady and butt out ! "
329,330,1, Just what gives you the right ... ? 
330,331,1," Because I'm no sucker  only suckers go to the end of the line . It's as simple as that , lady . "
333,334,1, Whew ! I got the last one . This must be my lucky day ! 
336,337,1," Lady ! This is unfair ! I've been cheated ! I was in line before you.That should have been my ticket ! Come on , hand it over , lady ! "
337,338,1," Gentleman ! Hah ! Fat chance ! Hah ! Eat your heart out , sucker ! Hah ! "
339,340,6, You're kidding . We'll never make it across in one piece ! Let's cross at the light . 
341,342,1," If you want to cross here , be my guest . I don't feel like dodging cars and scooters ! "
351,352,1, Just look ! In six short weeks I've put on 30 pounds of pure muscle . 
357,358,1," Listen , I know who you are . If you call this number again , I ’ ll call the police . You ’ ll be arrested . I ’ Ve got your number . "
376,377,1," Which leg do you want to have , right leg or left one ? "
384,385,1, I dislike my roommate . He really turns me off . 
392,393,1," I hate the bus system in London ! The bus drivers are rude , the buses are never on time , and there are few people around who can help you . "
394,395,1," It wasn't just once . Every single time I take the bus , something bad happens to me or to someone else on the bus . "
404,405,1,Yesterday I had a quarrel with my roommate . I'm really fed up with all this . 
406,407,1," My roommate always brings a lot of friends from off-campus . They stay in the room until midnight , singing and talking , drinking and playing cards while I have no place for study . I even don't have the quietness to sleep . "
408,409,1,My stomach's growling again ! 
427,428,1," Come on ! In the two hours we've been here , you haven't sung even one song ! "
431,432,1,Is Stanley still singing that Elvis song ? He's really hogging the mic ! 
432,433,1," If I hear Love Me Tender one more time , I think I'll go crazy ! "
433,434,1, He sounds like a sick cow ! 
447,448,1, That's true . You can hear my tummy grumbling . I am really hungry ! 
453,454,1," Shut up ! Now you are in my car , you should listen to me . Or you can get off . I've told you I'm in a hurry . I don't want to waste time on the road . "
466,467,1," Oh , yes . I get six Korean channels but nothing in English ! "
467,468,1,I swear I will never shop at a street market in China . It's a terrible place full of excellent profiteers ! You have to keep an eye whenever it comes to paying for something . 
469,470,1," yes . Last Sunday I went to a nearby market . It was on open-air fair . I chanced upon this bag and bought it on the spot , without even trying to strike a bargain . I paid one hundred and twenty . And just now I was told by my Chinese colleagues I bought it overpriced . I could have talked my way to thirty . "
471,472,1, but don't you think it annoying to overcharge the customers by such a handsome margin ? 
479,480,1, Stop talking like my mother . That's what she keeps saying . 
486,487,1," Look , traffic jam again ! "
489,490,1, It is . Hurry up ! You ’ ll be late for school . 
493,494,1, It ’ s slow . Hurry up ! The bus goes at twenty to eight . 
499,500,1,"Shit , so crowded ! "
502,503,1, We have too many cars ! 
503,504,1,What a terrible house ! 
505,506,1," The door bell doesn't work , the sink is leaking "
506,507,1," There's no hot water , and the building is falling apart ! "
507,508,1," It's no use complaining.If we had got enough money , we wouldn't put up with it ! "
508,509,1,I'll be late because I have waited so long ! 
515,516,1, We have to wait six more minutes ! 
518,519,1," Oh , what a terrible situation ! This traffic is unbearable . "
537,538,1, You said you were only going to window shop ! 
538,539,1," I agreed to not go into the mall , but I can still look at things in the market ! "
547,548,1," First I was late for school this morning , and now I broke your vase . This isn't my day ! "
552,553,1," Well , there's nothing I can do about my height ! "
556,557,1,Look at the traffic . It ’ s terrible ! 
560,561,1,"Gosh , another stop.It seems the cars ahead of us have to stop every two minutes , It's no quicker than a bus . "
567,568,1,I'm very annoyed at your disobedience . 
572,573,1,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
573,574,1, Yes . And they don ’ t give you very much either . I ’ m still hungry . 
574,575,1, I ’ m sure this one is especially bad . And the word is so unpleasant . 
575,576,1, Don ’ t do this ! Don ’ t do that ! You mustn ’ t do this ! You can ’ t do that ! 
576,577,1," Well , I ’ m going to write a letter of complaint . "
577,578,1, And we ’ ll all help you . 
580,581,1, Try to be more careful in future . Look ! You ’ Ve damaged the sign . 
589,590,1," I'll give you five more minutes , then I'm going on without you ! "
591,592,1," Oh , yes , I would ! "
596,597,1, You'd better get on with your homework ! You can practice on Sunday . 
600,601,1," Oh , don't you ? God save me ! "
608,609,1, You ought to have worked harder then you wouldn ’ t have failed your exams . You have to take a job and study . 
610,611,1, Who knows ! That might come to later . 
618,619,1, Who's your manager ? Tell me ! Would you ? 
623,624,1," At cars ! You aren't thinking about buying a car , are you ? "
625,626,1," But it will be expensive to have a car in the city , won't it ? "
627,628,1," But what about parking ? You can't park on the street , can you ? "
631,632,1, It is . Hurry up ! You ’ ll be late for school . 
635,636,1, It ’ s slow . Hurry up ! The bus goes at twenty to eight . 
641,642,1,What are we going to do ? I can't get the car out of this ditch . I'm stuck ! 
643,644,1, I know . This is terrible . What can we do ? This snow doesn't stop falling ! 
659,660,6," Oh , my God ! It's good we have food . "
661,662,1,"Oh , my God ! I've been cheated ! "
663,664,1, It's a brick ! I can't believe how stupid I was . Damn it ! 
680,681,1,"What a mess , Jack ! "
683,684,1,What a washing machine ! It ’ s getting worse today . Look ! Now it doesn ’ t work at all . I think I need a new one . 
688,689,1, It is . Hurry up ! You ’ ll be late for school . 
692,693,1, It ’ s slow . Hurry up ! The bus goes at twenty to eight . 
703,704,1," Look for it yourself , please ! Kinda busy here , Daniel ! "
711,712,1,"Oh , come on , Ultraman ! "
716,717,1," Oops , no , Daddy can't watch American Idol , either ! "
733,734,1," Dad , it's not fair . I am so disappointed with you ! "
744,745,1, How depressed ! 
752,753,1," Oh , my God . It's disaster . It makes my head look like a soccer ball . "
759,760,1,What a terrible house ! 
761,762,1," The door bell doesn't work , there's no hot water , and the building is falling apart . "
766,767,1, I told you to hurry up a thousand times . You just put a deaf ear to it . 
770,771,1, It's all your fault ! Now we can't get in shopping . 
778,779,1," You've just scratched my car . Oh , God , a paint was scratched off . "
779,780,6, Where ? my car ? 
780,781,1," No , mine ! "
792,793,1, I don't want to sit there and watch them torturing the animals . 
794,795,6, Cute ? Hope so . 
796,797,1," Me ? No way , keep him away from me , please . "
798,799,1, I've said that I've got a problem with the circus . I'm not kidding . 
799,800,6, That's weird ! 
802,803,1, Why don ’ t you help me save money ? You are always spending money . 
806,807,1,"Ok , let ’ s go through this one more time . I don ’ t want anymore ruined or dyed blouses ! "
816,817,6, What do you mean ? I bought this computer just three years ago ! 
820,821,1, I have no idea what you are talking about . I just want to know if it ’ s good and if I will be able to play solitaire without the computer crashing or freezing all the time ! 
821,822,1," This PC is top of the line and I guarantee it will never freeze ! If it does , we ’ ll give you your money back ! "
822,823,6,"I hate working on Christmas Eve ! Whoa ! Get a load of this guy ! Come in central , I think we ’ Ve got ourselves a situation here . "
830,831,1, You can ’ t take me to jail ! What about my sleigh ? It ’ s Christmas Eve ! I have presents to deliver ! Rudolph ! Prancer ! Dancer ! Get help ! 
836,837,6, Are you nuts ! I ’ m not going to run a red light ! 
837,838,1," Whatever . Just turn right here . . . The freeway will be packed at this hour . . . let ’ s take a side street . Go on ! Get out of our way ! Move , move ! "
838,839,1, What ’ s your problem ! Geez . Having a fit is not going to help ! 
843,844,1,Freeze ! Police ! Put your hands over your head ! 
846,847,6, What do you mean ? 
848,849,6, I didn't do anything . 
850,851,6," No , I didn't . I'm innocent . Those aren't mine . Whatever you found is someone else's stuff . You can't prove anything . I wasn't there when you went in , and you can't prove it's my stuff . "
851,852,1," That may be , but you're still under arrest . And you'd better stop talking . "
852,853,1," I don't need your help , jerk . "
859,860,1," Darn ! Oh , well . I guess it ’ s just not my day . Thanks anyway . "
874,875,1, Dammit ! I asked for sunny side up ! How many times do I have to tell you . 
875,876,1,"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . "
886,887,1,"Stupid girl , making me spend so much money , now I have to get it from the ATM ... "
888,889,1," I know where to put my card ! Stupid machine , talking to me like I ’ m an idiot ... "
890,891,1," Yeah , yeah , I know what I selected . Just gimme my money ! "
892,893,1," No , no ! Stupid machine , what are you doing ! No ! "
894,895,1," No , no way ! What happened ? Give me my money ! "
898,899,1, I haven't even told you what it is yet ! 
902,903,1," Egg ! I told you about it last week ! Smelly Toes is playing , and Eric asked if I would go with him ! "
908,909,1, That ’ s so unfair ! 
909,910,1,Mom ! I hate eating vegetables ! 
913,914,1, But I don ’ t like them ! It ’ s not fair ! 
933,934,1, I can ’ t possibly travel on a hard seat for 10 hours ! 
937,938,6, Where ’ s my wallet ? Someone has stolen my wallet ! 
945,946,1," Oh , shut up , will you ? It was all your fault . If you'd kept quite this would never have happened . "
946,947,1," Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . "
953,954,1," I'll give you five more minutes , then I'm going on without you ! "
955,956,1," Oh , yes , I would ! "
958,959,6, What's wrong with it ? It's filthy ! 
960,961,1, It's filthy because you never wipe your shoes . 
965,966,6, In the dustbin ! Why didn't you tell me before ? 
971,972,1," Oh , dad , I'm not a child . I'm 17 already . I'll come back as soon as the film is over . "
974,975,1,Hey . Why did you take that money ? You are such a cheater ! I should send you to jail ! 
975,976,1," I am not cheating . When you pass go , you collect $ 200 , Everyone knows that ! "
976,977,1, Well you can ’ t just take the money . You have to ask the bank for money . And I ’ m the banker . 
987,988,1," Let me go to school , please ! I'm sick of medicine , sick of soup , and sick of being sick ! "
990,991,1, Come on ! I'll pay you back on Tuesday . 
994,995,1, Fine ! I can't believe you don't trust me . 
996,997,1,I know why Mr . Fro didn't like our ad idea ! He doesn't know the first thing about coffee . 
1003,1004,1," Uh ! I can't swallow them , Mom ! "
1007,1008,1, Yuck ! 
1009,1010,1,Ouch ! The water's too hot ! 
1013,1014,1, Oh ... I'm sweating already . It's so hot . I can feel it boiling ! Can I get out yet ? 
1017,1018,1, Why ? It's in mint condition ! 
1021,1022,1, I've created a monster ... you're a better bayer than me ! 
1025,1026,1," Aw , Mom-you're such a drag . "
1029,1030,1, I'd say all you've done is moved the dirt from the windows on to your face and hands . Disgraceful ! 
1031,1032,1," Your best isn't good enough . Back in my day , I'd clean a whole hospital with a toothbrush and spit , and it'd be twice as clean as this sty ! "
1033,1034,6,"Johnny , I can't believe you would do that . "
1035,1036,1," You're darn Toomin ' , you know ! Now , you're on housework duty while I'm here ! "
1037,1038,1, You're going to mop the floor until you can see your face in it ! 
1039,1040,1, And you're going to dust every piece of furniture in the house ! 
1049,1050,1, Fine ! I don't know why they make these things so delicate anyways . 
1051,1052,6, What ? I sent you three or four messages ! 
1053,1054,1, Why didn't you just call ? I hate sending SMS messages . 
1055,1056,6, I thought you had an unlimited SMS plan ? 
1059,1060,1," I have a headache . These past few days I've been living off painkillers . Man , I feel like my head is going to explode . "
1074,1075,1, Come on ! We have been here for almost an hour ! I thought you said you were only going to get a few things ! How long does it take you to pick out a lipstick and some nail polish ! 
1076,1077,1, Whoa whoa whoa ! Are you nuts ? How much is all this going to cost ? I ’ m looking at the price at each one of these little things and it ’ s outrageous ! This is basically a crayon ! 
1077,1078,1," What about you ? You spend as much or more money on your razors , after shave , cologne and gel ! Not to mention how much you spend on clothes and ... "
1078,1079,1, Fine ! Get the stupid thirty dollar crayon ! 
1084,1085,1, It was horrible ! I played play it much better at home ! 
1088,1089,1, Sorry ! The stretch for that octave is always hard to make . 
1090,1091,1,We have been over this a hundred times ! We are not getting a pet ! 
1091,1092,1, Why not ? Come on ! Just a cute little puppy or a kitty ! 
1093,1094,1," I will ! I ’ ll feed it , bathe it and walk it every day ! We can get a Labrador or a German Shepard ! "
1100,1101,1,Stephanie ! Did you just get to school ? But you were up and about when I left the dorm this morning ! That was about an hour and a half ago . This happens all the time ! Why do you always take so long to get ready the morning ? 
1102,1103,1," Please explain because it makes no sense to me . How can a girl ’ s routine be so complicated ? You get up , you shower , you get dressed , you brush your teeth , you ’ re out the door . Half an hour , tops . "
1103,1104,1," Jacob , you have the luxury of having a haircut that rarely needs styling . I don ’ t . I have to set aside about an hour and a half to get ready in the mornings . Every day , I wake up and head straight for the shower . Every second day , I wash my hair . If it ’ s a hair-washing day , I frequently need to wash my hair twice because it gets really oily . Then I usually put in a conditioner and have to rinse that out too . Because my hair is so long , I seldom manage to take a shower in under twenty minutes . Afterwards , I often put on a pot of coffee and get dressed while I wait for it to brew . I take a long time to get dressed in the morning . Every now and then I remember to choose my outfit the night before , but usually I do it in the morning . In all , getting dressed takes about half an hour , at which time my hair is now semi-dry so then I have to style my hair . From time to time I ’ ll put my hair up , but oftentimes I bloody it straight . And then , because of the texture of my hair , I regularly have to flat-iron it to keep it from frizzing . That ’ s another twenty minutes or so . After that , I have my daily makeup routine . "
1106,1107,1,I have been looking at this online catalog for over an hour and I still haven ’ t finished getting all the kitchen appliances that we need ! 
1114,1115,1, Don ’ t touch that thermostat ! You don ’ t pay the bills around here ! 
1115,1116,6," Dad ! Are you serious ? What ’ s the point of having central heating if we can ’ t use it ! Look , I can see my breath ! "
1116,1117,1, Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly . 
1117,1118,1, Dad ! I ’ m gonna catch a cold ! 
1118,1119,1," When I was your age , my parents didn ’ t have central heating like you do ! We had a furnace in the center of the living room and that was it . We used it to cook , heat the house and even dry our clothes ! We never caught a cold . You should be grateful ! "
1120,1121,1, I feel itchy ! I can ’ t stand it anymore ! I think I may be coming down with something . I feel lightheaded and weak . 
1122,1123,6, What ’ s wrong ? 
1137,1138,1," Get out of my store , you jerk ! "
1141,1142,1," All you ever do is have unhealthy fast food Pizza , fries , burgers and hot dogs ! You have to start eating better ! "
1143,1144,1, Yeah right ! I ’ m serious ! You should also cut down on your sugar intake as well . You drink carbonated drinks that are high in fructose syrup ! It ’ s really not healthy ! 
1149,1150,1, What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! 
1151,1152,1, My car won ’ t start ! Stupid old car ! 
1155,1156,1, Yeah ! I am here with my friend and he thinks it may be the spark plug or the starter motor . 
1163,1164,1," Oh John , I thought we said we would start eating right ! Remember ? Our new healthy lifestyle ? That ’ s all junk food ! "
1178,1179,6, Recliner ? In my beautifully decorated living room ? I don ’ t think so ! 
1180,1181,1," Fine , just get it ! We have been shopping for furniture for five hours ! I ’ m so tired ! "
1182,1183,1," Fine ! I am going to go home and drop off this nightstand , coffee table and love seat while you look for the rest of the things . "
1185,1186,6, Recliner ? In my beautifully decorated living room ? I don ’ t think so ! 
1187,1188,1, Can ’ t it wait ? I ’ m watching the game right now ! 
1191,1192,6," Whoa wait a minute ! Isn ’ t that a bit too much ? I mean , how much is all of this going to cost ! "
1197,1198,1, Come on ! In the two hours we've been here you haven't sung even one song ! 
1201,1202,1,"Staying out all night , you frightened me to death . "
1203,1204,1, You should at least give me a call . 
1205,1206,1,Is Stanley still singing that Elvis song ? He's really hogging the mike ! 
1206,1207,1," If I hear "" Love Me Tender "" one more time , I think I'm going to go crazy ! "
1211,1212,1,Shut up ... Billy ... BILLY ! 
1212,1213,6, What ! 
1214,1215,6, It's my new radio earphone . 
1217,1218,1,Oh . I just wanted you to shut up . You were off-key anyway . Let me see that ! 
1225,1226,1, You're such a wimp ! You're afraid of an eyelash curler . 
1226,1227,1," Well , you might pinch your eyelid ! Or lose an eyeball ! "
1230,1231,6, What ! 
1232,1233,1, Don't you dare tell me that ... 
1234,1235,1," Well , they should have called you ! "
1236,1237,1, And you didn't think to leave them my cell phone ? 
1238,1239,1, It's the holidays ! Everybody knows how hard it is to get tickets ! 
1240,1241,1, Trust you ! You can't even handle simple plane reservations ! 
1242,1243,1,"Excuse me , I ’ Ve been waiting my main dish for quite a time . "
1253,1254,1, It's your fault for mixing the two broths ! 
1257,1258,1, We ’ Ve been looking around for many hours.What on earth are you looking for ? 
1264,1265,6, Really ? Let ’ s go there . 
1267,1268,1, That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying ! 
1268,1269,1, Yeah you are right . This office is falling apart ! Frank told me the other day that the gutters outside were clogged and that ’ s why the parking lot was flooded . 
1269,1270,1, I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . 
1276,1277,1, But Christmas was two weeks ago ! It ’ s been there only because we ’ Ve been too busy to get rid of it . 
1283,1284,1,"Oh , damn . There ’ s another traffic jam on the highway . "
1297,1298,6, You did ? But I tried to call you at least twenty times and nobody answered . 
1303,1304,1," I just told you , Debbie . I tried to call you twenty times ! "
1305,1306,6," Oh , my bread ! "
1307,1308,1, Curse this oven ! Curse it ! 
1309,1310,1, Curse the worst oven in the world . 
1316,1317,6," Are you kidding ? The meter says 15 dollars , doesn't it ? "
1318,1319,1, I don't get it . I'll go and have that doorman talk to you then . 
1332,1333,1," Cash , credit card , cheque anything . I just have to see a doctor . I am in pain . "
1335,1336,1,"Oh , my goodness . The traffic is crawling . "
1345,1346,6," Really ? But I can smell alcohol on your breath . Blow to the breathalyzer , please . "
1352,1353,1," Oh , no ! "
1359,1360,1, But that is terrible ! I am only here for one night ! 
1372,1373,1, Can ’ t it wait ? I ’ m watching the game right now ! 
1374,1375,1, Fine ! What do you need ? 
1380,1381,1,I swear I will never shop at a street market in China . It's a terrible place full of excellent profiteers ! You have to keep an eye whenever it comes to paying for something . 
1394,1395,1, Silly boy ! The dustbin is at the back of the school . Now pick up the paperand put it in the dustbiri . 
1400,1401,6," Are you crazy ? You have no idea what you are talking about ! Just for my eyes I have to get eye-liner , an eyelash curler , eye shadow , an eyebrow pencil and mascara . Then I need to get foundation , liq "
1401,1402,1, Whoa whoa whoa ! Are you nuts ? How much is all this going to cost ? I ’ m looking at the price at each one of these little things and it ’ s outrageous ! This is basically a crayon ! 
1402,1403,1," What about you ? You spend as much or more money on your razors , after shave , cologne and gel ! Not to mention how much you spend on clothes and ... "
1403,1404,1, Fine ! Get the stupid thirty dollar crayon ! 
1404,1405,1,Oh man ! I ’ Ve been starving myself for days now and I haven ’ t lost an ounce ! 
1416,1417,6," Dad ! Are you serious ? What ’ s the point of having central heating if we can ’ t use it ! Look , I can see my breath ! "
1417,1418,1, Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly . 
1418,1419,1, Dad ! I ’ m gonna catch a cold ! 
1428,1429,6," I ’ m sorry sir but , what exactly did you do ? "
1430,1431,1," Get out of my store , you jerk ! "
1433,1434,6, What do you mean ? I bought this computer just three years ago ! 
1438,1439,1," This PC is top of the line and I guarantee it will never freeze ! If it does , we ’ ll give you your money back ! "
1439,1440,1,Ah ! No ! Damn it ! 
1442,1443,6, Really ? How could you do that ? Don't you save every couple minutes ? 
1451,1452,1," Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . "
1461,1462,1, Damn ! 
1467,1468,1, Mom ! That is so unfair ! 
1469,1470,6, What ! For being a couple of hours late ? You have to be kidding ! 
1470,1471,1, I don ’ t want to hear it ! Now go to your room ! 
1472,1473,1, Yes ! Thank goodness you ’ re here.These bugs are driving us crazy ! 
1477,1478,1,We have been over this a hundred times ! We are not getting a pet ! 
1487,1488,1,"Oh great ! This stupid computer froze again ! That's the third time today ! Hey Samuel , can you come take a look at my PC ? It's acting again . It must have a virus or something . "
1495,1496,6, Me ? You're the one who pulled out in front of me ! 
1497,1498,1," Hey , listen . I had every right to stay in the lane I was in.You were supposed to wait until I passed to pull out.And anyhow , you didn't give me any time to change lanes.All of a sudden--BANG--there you are right in front of me . "
1505,1506,6," Oh , yeah ? It's better if we make a police report first . Then you can go to the hospital . "
1506,1507,1, Damn it ! I'm injured here . We could wait all day for the police . 
1510,1511,1, To hell with you . The accident was your fault . 
1512,1513,1, To hell with you . 
1519,1520,1," Fine , then ! If that ’ s the way you feel , so be it . But you ’ re losing out on a great opportunity here . I ’ m going to go hit up Mum for the cash . "
1520,1521,6,"Wow , you ’ re up early today ! What ’ s for breakfast ? "
1529,1530,1, I said sunny side up ! How many times do I have to tell you . 
1544,1545,1," I ran it against that fence pole as I crashed . What do you think ? Damn , it hurts ! "
1557,1558,1," Egg ! I told you about it last week ! Smelly Toes is playing , and Eric asked if I would go with him ! "
1563,1564,1, That ’ s so unfair ! 
1566,1567,1, That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying ! 
1567,1568,1, Yeah you are right . This office is falling apart ! Frank told me the other day that the gutters outside were clogged and that ’ s why the parking lot was flooded . 
1568,1569,1, I know ! I was in ankle deep water trying to get to my car that day ! The handyman definitely has his work cut out for him . 
1573,1574,1, Damn it ! I'm injured here . We could wait all day for the police . 
1577,1578,1, To hell with you . The accident was your fault . 
1579,1580,1, To hell with you . 
1580,1581,1,What are we going to do ? I can't get the car out of this ditch . I'm stuck ! 
1582,1583,1, I know . This is terrible . What can we do ? This snow doesn't stop falling ! 
1596,1597,6, Days ? 
1601,1602,1,Ah ! No ! Damn it ! 
1604,1605,6, Really ? How could you do that ? Don't you save every couple minutes ? 
1605,1606,1," No , I didn't save this time.Damn it ! And I'm sick of writing this paper . Now I have to write it all over again too . "
1613,1614,1," Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . "
1623,1624,1, Damn ! 
1632,1633,1, Mom ! ! ! Please . All my friends have had it for years . 
1642,1643,1," Yes , my watch says a quarter to seven . but there is something wrong with my watch ! "
1649,1650,1,"Mom , I hate eating vegetables ! "
1653,1654,1, But I don ’ t like them.It ’ s not fair . 
1658,1659,1,Hello ! We ’ Ve been waiting for our lunch order for over an hour . Did you forget our order ? 
1662,1663,1,this bloody computer ! 
1664,1665,1, my computer just crashed again for the third time today ! 
1668,1669,1," oh , no ! I thought it seemed a bit strange . "
1695,1696,1," yes , they were horrible . We had to wear green every day ! "
1708,1709,1," Oh , come on ! Don't be so sour . These are beautiful shirts . I know if we don't buy some today , you will never go shopping by yourself . "
1726,1727,6, Are you kidding ? That's the stupidest gift one can buy . I don't want to get a tie . 
1750,1751,1," Oh , shut up about ties ! Forget about ties , why not ? "
1758,1759,1, that seems like an awful waste ! Why don't people order fewer dishes so that they don't have to throw so much away at the end of the meal ? 
1767,1768,1,Do you have any idea what time it is ? 
1775,1776,1," If you do this again , don't even bother coming home . "
1776,1777,6, You're going to kick me out over this ? 
1778,1779,1," Well , if I'm not living here anymore , then I won't have to listen to your rules . "
1779,1780,1,Do you know how late it is ? 
1783,1784,1, Haven't I asked you to call if you're going to be home late ? 
1787,1788,1," Come home late one more time , and you'll find your stuff outside . "
1788,1789,6, You want to throw me out over this ? 
1790,1791,1," That's fine , because if I leave , then your rules won't matter . "
1791,1792,1,I was anxious to find out what the sellers had to say about my counter-offer . 
1806,1807,1, I can't stand riding the bus . 
1807,1808,1," Me too , it's so unreliable . "
1809,1810,1, It's also horrible having to be at a bus stop in any kind of weather . 
1810,1811,1, Exactly.That ' s the worst part . 
1818,1819,1, I really do hate public transportation . 
1819,1820,1," I agree , it's just never on time . "
1821,1822,1, I also hate having to stand at a bus stop in all kinds of weather . 
1822,1823,1," Oh , that's the worst . "
1827,1828,1, There ’ s no way that I can stay here . 
1829,1830,6, I don ’ t understand why . 
1835,1836,1, But I ’ m not able to live here anymore . 
1839,1840,6, Are you kidding me ? 
1841,1842,1, You can ’ t just throw me out on the street ! 
1854,1855,1, Don ’ t tell me what to do ! I ’ ll get to it when I get around to it ! 
1864,1865,1, I am maintaining the building . You are way too picky ! 
1866,1867,1, You wouldn ’ t dare do that ! 
1876,1877,1, You can ’ t do that ! It ’ s illegal ! 
1877,1878,1,"Emily , what kind of report is this ? "
1879,1880,1," Don't get smart with me . Here , do it again , but do it right this time . "
1883,1884,1, Just get out of my face ! 
1885,1886,1, Leave me alone ! 
1890,1891,6, You've got to be joking . 
1894,1895,1, Don't brother me ! 
1899,1900,6, No kidding ! Didn't you study for it ? 
1903,1904,6," You can't do that , Jenny ! "
1907,1908,1, Stop it . Teacher doesn't treat me any different than she does everyone else . 
1909,1910,1," Hey , I worked hard on that report and I deserve the grade I got . "
1911,1912,1, You're just jealous because you didn't do as well as you thought you did . Admit it . 
1913,1914,1, If you think that she is not fair with your work then you should talk to her in person instead of stewing over it . 
1920,1921,1, I am very grateful for your advice . 
1921,1922,1, It's my pleasure to talk with you . 
1925,1926,1, Just get out of my face ! 
