,tweet_id,sentiment,content
80,1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
82,1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
83,1956986359,fear,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
84,1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
85,1956987381,fear,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
86,1956987600,anger,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
87,1956987828,fear,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
88,1956987904,fear,I can't sleep...I keep thinking about the puppy I played with today
89,1956987950,fear,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
92,1956988223,fear,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
95,1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
96,1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid
97,1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
99,1956989601,anger,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
100,1956989914,fear,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
101,1956990288,anger,@mrgenius23 You win ... SIGH Rakeem
103,1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
104,1956990729,fear,Oh no one minute too late! Oh well
105,1956991009,anger,"@soviet_star Damn, that sucks"
106,1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
107,1956991704,anger,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
108,1956991723,fear,ahh! big scary bug flying around my room!!!!!
109,1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
110,1956992144,fear,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
116,1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
119,1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
121,1956996081,anger,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
123,1956996470,fear,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
124,1956996673,anger,@britblackbird  youstinkatrespondingtotexts!
125,1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
126,1956996765,happy,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
127,1956996776,sadness,Is miserable  i feel like im gona cry  sux!
129,1956997352,fear,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
132,1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
135,1956998704,sadness,Now I am depressed after watching so you think you can dance
136,1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
139,1957000290,fear,"I cant sleep, but im too sore to move"
143,1957000788,fear,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
145,1957001370,fear,@omfgiselle i cant do anything
150,1957002082,sadness,"Last day working for the Uni today, sad times"
152,1957002923,fear,My head hurts so bad I could scream!
153,1957003048,fear,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
154,1957003356,fear,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
155,1957003440,fear,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
157,1957004184,fear,oh men!!!!!!......I really can't see my face........c'mon guys!!!
158,1957004519,fear,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
159,1957004606,fear,my sole supporter is not my sole supporter
160,1957004749,anger,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
161,1957005165,fear,@Emilyyy16 urgh stop it guys
162,1957005226,sadness,is still missing her husband.    I really want him home.
163,1957005279,sadness,I miss my puppy
164,1957005410,surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
166,1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
167,1957005817,fear,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
168,1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
170,1957006098,fear,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
171,1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
172,1957006307,fear,is feeling sad... for some reason..  http://plurk.com/p/wxji3
173,1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
174,1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
177,1957006947,fear,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
183,1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
184,1957007981,fear,@jertronic it wont let me
185,1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.
186,1957008193,sadness,but now i have no money for a phone
187,1957008287,fear,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
188,1957008292,fear,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
189,1957008434,surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
190,1957008478,surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
191,1957008498,sadness,Too bad the Red Devils.. disappointing to say the least
192,1957008766,surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
193,1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
194,1957008987,surprise,when da heck will the garage man get here I ask you.. WHEN..
195,1957009454,fear,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
196,1957009666,anger,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
197,1957010072,fear,why are plane tickets so expensive
199,1957010415,fear,Needs a job BADLY!!!
200,1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
201,1957011738,fear,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
202,1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
204,1957012769,sadness,is a bad friend
206,1957013166,anger,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
209,1957013723,anger,would wish the severe migrains would stop!!! doc's prescriptions arent working
211,1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
212,1957013895,anger,@tiffalo cuz airlines are super lame.
213,1957013896,sadness,@lenje - Still a pity it comes with no lamb though
214,1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
216,1957014493,anger,I'm so very tired...and have insomnia.
219,1957014706,anger,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
222,1957015719,fear,people in my house do not know how to close doors
223,1957016086,surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
225,1957016339,fear,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
226,1957016697,sadness,Had to cancel wow for now
227,1957016818,fear,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
228,1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
229,1957017177,fear,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
230,1957017320,fear,@__sugar oh no  i am always here ;) &lt;3
233,1957017522,happy,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,1957017595,happy,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
236,1957018061,sadness,Up late with nothin 2 do.....
237,1957018162,fear,i think the vog is making me sicker than i think. feeling slightly achy
239,1957019034,fear,i am doing homework it sux big time maths is the worst!!!!!!
242,1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
243,1957019715,fear,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
245,1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
246,1957020385,happy,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
247,1957020390,fear,i'm sooooooooooooo confused
249,1957020624,fear,"Work day 7 of 7,"
250,1957020702,happy,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
252,1957021039,fear,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
254,1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
255,1957021321,surprise,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
256,1957021486,anger,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
258,1957022610,fear,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
259,1957022799,surprise,@FoxxFiles aw u can't let me in on the secret!
260,1957023061,surprise,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
261,1957023133,fear,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
262,1957023263,anger,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
263,1957023739,anger,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
266,1957024334,fear,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
267,1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
268,1957026475,sadness,It's pissing me off and not letting me follow ericka
269,1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
270,1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
273,1957028656,surprise,is thinking so much and i'm at work
274,1957028775,fear,I have forgot the live with the Jonas Brothers on Facebook
275,1957028895,sadness,I haven't seen Muffin in two whole days!
276,1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
277,1957029634,surprise,my gap year is going so quick
278,1957029641,fear,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
280,1957030196,fear,my twitter has been hacked again
281,1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
283,1957030622,anger,@lanacaitlin  hahaha well its try its so ugly
285,1957031520,fear,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
289,1957032114,surprise,@qi_tah oh no.  *hugs*
291,1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
292,1957032539,fear,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
293,1957033043,happy,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
294,1957033103,fear,"Okay, so twitter suddenly changed, how do I respond to messages now"
296,1957033558,fear,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
297,1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
299,1957033874,anger,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
300,1957033901,fear,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
301,1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
302,1957034289,anger,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
304,1957034566,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
308,1957035564,happy,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
309,1957035950,anger,my roommate @tess_tickle loves to ignore me
313,1957038324,sadness,my teeth and head hurts
314,1957038398,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
315,1957038470,anger,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
317,1957038477,fear,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
318,1957038763,fear,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
319,1957038970,fear,I need to be held...  Gnite.
320,1957039203,fear,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
321,1957039456,sadness,no more arrested development. i am sad.
323,1957039894,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
324,1957039922,sadness,I feel so deflated. No more doggy.
325,1957039947,fear,@blood_rain i wanna see her hair  hows everyone?
326,1957040172,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
327,1957040395,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
328,1957040988,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
329,1957041569,fear,Aww...  Pray for the arroyo family everyone!
331,1957041745,sadness,Fuuudge. Movie store is closed
332,1957041767,sadness,ALO is so sad and quiet and empty tonight
333,1957041812,anger,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
334,1957041856,fear,@wuzzyangel You never answered your DM I sent you....   I need your info...
335,1957042008,fear,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
336,1957042316,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
337,1957042474,fear,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
338,1957042509,fear,@jose3030 I didn't think anyone caught that
343,1957043226,sadness,Sad that Christian Lacroix had to file bankruptcy
344,1957043241,sadness,I dont feel good AT ALL. fuckkk
346,1957044680,fear,looks like i'll never go to the zoo
347,1957044694,fear,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
349,1957044789,fear,@Moss1982 bad times?
350,1957044935,anger,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
351,1957045395,sadness,Have to go to the dreaded DMV tomorrow
353,1957045692,happy,english class! working on interactive orals
354,1957045940,fear,@SharonHayes Thank you for the rec but that doesn't work
356,1957046090,fear,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
357,1957046631,fear,I don't know how ima work out tomorrow wit my body dis sore  ugh
360,1957047569,fear,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
361,1957047571,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
362,1957047787,fear,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
363,1957047828,fear,"Lady across the way had a miscarriage, say a prayer"
364,1957048027,sadness,God I just want to sleep.
365,1957048703,anger,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
366,1957048870,fear,I feel so deflated. No more doggy.
367,1957049167,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
368,1957050633,anger,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
369,1957050684,fear,is feeling bad  just got bad news about my Mum
370,1957050747,sadness,@RealBlackWidow But but I dun wanna
371,1957050890,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
372,1957051517,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
375,1957052409,fear,don't feel like working  I think I tweet this too often!
376,1957052932,sadness,feels sick to my stomach and idkk whyy
377,1957053170,fear,vineri...nimic special sau probabil un alt weekend pierdut...
379,1957053338,surprise,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
381,1957053566,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
382,1957055178,fear,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
384,1957055530,anger,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
385,1957055981,happy,FB is boring   and i wanna sing RIGHT NOW..! *-*
386,1957056027,sadness,@judyrey  The link doesn't work
388,1957056896,fear,The humpalow um ya I think so... Cell is dying
389,1957057026,fear,Last day at work...Sick to the bone
390,1957057469,fear,i feel like I'm on house arrest.
392,1957058130,surprise,@heavenjones ur supposed to be in BK tho
393,1957058219,fear,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
394,1957058436,surprise,Oh no!  Nighty night.
395,1957058504,happy,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
396,1957059348,sadness,my stupid tooooth hurts
399,1957059917,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
401,1957060439,fear,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
402,1957061418,fear,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
403,1957061527,fear,my dog ran awayyy
404,1957061884,anger,@all_is_one84 Those suck so bad.
405,1957062262,fear,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
407,1957062676,fear,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
410,1957062827,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
411,1957063783,anger,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
412,1957063845,sadness,@Penguin_J heehee. i love you! i am tired.
413,1957064177,fear,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
414,1957064253,fear,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
415,1957064566,fear,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
416,1957064575,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
418,1957064908,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
421,1957066120,fear,@charloro jealous  it looks like schindler's list in toronto
425,1957067988,sadness,@joiskol  being in your room makes me sad.
426,1957068229,fear,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
428,1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
429,1957069453,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
430,1957070273,surprise,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
432,1957070534,sadness,@meljachin: eww. dislike
433,1957070786,fear,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
435,1957071331,sadness,"@SuzyDunkley sorry bout the cat,"
437,1957072308,fear,my stomach feels like it's touching the ground..i'm SO full
440,1957072682,fear,Sooo much work so little time
441,1957072896,sadness,missed iron chef
442,1957073073,sadness,@thevowel the DS version sucks
443,1957073201,sadness,what a bad day
445,1957073753,anger,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
446,1957073984,fear,"Ugh, my internet was down!"
447,1957074101,surprise,omg i didnt tweet all that much today.... *sadness*
448,1957074214,fear,is feeling so giddy and wanna go home.
451,1957074977,fear,Up and packing. Its the last day of youth camp
454,1957075229,fear,Somebody please save the polar bears!
455,1957075268,happy,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
456,1957075370,surprise,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
457,1957075457,fear,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.
458,1957075557,fear,guess im staying home tonight...no movie-ing for me
459,1957076048,sadness,went to the cd store to search for the cd. But
460,1957076214,fear,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs
461,1957076433,sadness,I miss my mom..  &quot;May angels lead you in&quot;
463,1957076577,anger,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
465,1957077552,sadness,@chocolovere i feel the same way every day
466,1957077564,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
468,1957078157,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
469,1957078740,sadness,So have a headache right now and it sucks
470,1957079130,fear,@JayDz hope ya sleepin well  guys still here
472,1957079403,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
473,1957079496,sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
474,1957079533,fear,damn being drunk and hot sucks
475,1957079568,sadness,misses my baby.
476,1957079622,fear,is not sleeping because he has paperwork to do.
477,1957079972,fear,Showered in ice-cold water. Sweating now. Means one thing: I'm sick
478,1957080150,fear,"midnight cry.. wish the person I wanted, wanted me right now"
480,1957080579,sadness,I'm poorly and can't sleep
481,1957080963,fear,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
482,1957081280,fear,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz"
483,1957081795,fear,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again
484,1957082086,fear,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."
485,1957082503,fear,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!
486,1957082536,fear,didnt say goodnight to you
487,1957082538,anger,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
488,1957082926,sadness,has work tom.
493,1957083616,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
494,1957083641,anger,fuckin'm transtelecom
496,1957083910,fear,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store
497,1957084165,surprise,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
498,1957084166,sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
499,1957084446,sadness,@nickkk_ that sucks!
501,1957084638,sadness,Having Fever  dont feel to work
502,1957084742,fear,"Taking Horse Pills, hoping I can get some sleep tonight"
504,1957084945,sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
505,1957085151,anger,@juliaiiivir Hey! That's my school! I hate that place.
506,1957085211,sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
508,1957086137,happy,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
511,1957086444,fear,"Looks like it's going to be too nice to work today, how annoying as I have no choice"
