,Sr No.,Utterance,Emotion
233,238,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise
234,239,Okay! You don’t think I thought of that?,anger
235,240,How can you not know which one?,surprise
241,246,"You see you can’t tell which one is which either, dwha!!",surprise
246,251,Really!?,surprise
262,267,Really?,surprise
265,270,"Oh God, this is so nerve wracking! How-how do you do this?",surprise
267,272,Is it a good sign that they asked us to hang around after the audition?,surprise
281,286,Please!,anger
282,287,Are you kidding?,anger
283,288,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger
289,294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise
293,298,What?  Why?,surprise
294,300,"Chandler, we have talked about this.",anger
295,301,You are not supposed to give people advice!,anger
296,302,Now couldn't you just have made some sort of inappropriate joke?,anger
298,304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger
299,305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger
300,306,"Man, that's some",surprise
306,312,"So Ross, what your problem?",anger
307,313,Eh-wh—Excuse me?,surprise
308,314,Why can’t you get a girlfriend your own age?,anger
316,322,Okay. I’ll give you one chance to change my mind.  You got one minute.,anger
317,323,Daddy!,surprise
322,329,Ooooohh!,surprise
324,331,Was it...?,surprise
326,333,"""Ooo,"" what?",surprise
328,335,Oh!,surprise
329,336,The actress!,surprise
331,338,So what are you gonna do?,surprise
334,341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger
335,342,Guys?,anger
336,343,Guys?,anger
345,332,Oh! Oop!,surprise
361,348,What?! You totally get embarrassed!,surprise
366,353,I can’t believe it!,surprise
382,395,You kissed another woman!,anger
386,399,Wait you stole those from these people’s wedding?,surprise
388,401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger
389,402,Hey!,surprise
390,403,My sweater!,surprise
391,404,I’ve been looking for this for like a month!,surprise
392,405,Oh my God!!,surprise
393,406,Oh my God!,surprise
394,407,Happy?! Is that what I’m supposed to be Vic? Happy?,anger
395,408,"Well, why don’t you tell me what you’re supposed to be!",anger
396,409,Huh?,surprise
397,410,Because I sure as hell can’t figure it out!,anger
398,411,I talk to you and nothin’.,anger
399,412,"You look at me, and it’s nothin’.",anger
400,413,Nothing.,anger
409,422,"Ah, it’s says so in the script!",anger
410,423,"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",anger
411,424,It doesn’t say that in the script.,anger
412,425,It does in mine!,anger
413,426,I can’t,anger
414,427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger
424,437,Hello?   It’s the deli again!,surprise
429,442,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",surprise
433,446,Since then?!,surprise
443,456,"Of course, course one of 'em's Ma. What's the matter with you.",surprise
445,458,"Hello, I am Guru Saj--Whoa!!  That’s supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",surprise
454,467,"Yeah, that's it?",surprise
459,474,"Yes it is! From now on, I have no first name.",anger
462,477,"What? Ace is high! Jack, queen, king, ace!",surprise
463,478,"No! Ace is low! Ace, two, three, four!",anger
464,479,I don’t know. Ooh! Ooh! Look it!  Ah-ha!,surprise
467,482,Come on apartment! Come on apartment!  Oh! I know queen is high!,anger
468,483,"Uh-huh, not as high as… It worked! King!",surprise
474,489,"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",surprise
486,502,"Oh, seriously you want him?",surprise
488,504,"Well, don't, don't think me immodest, but, me?",surprise
496,512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",anger
507,523,You couldn’t do it?!,surprise
509,525,What?! You’re going out with her again!,surprise
512,528,Oh yeah! Wasn’t she uh,surprise
514,530,Joey! You didn’t even know her!,surprise
515,531,Ah whatever!,anger
517,533,Don’t touch him!,anger
518,534,Okay!,surprise
525,542,Ah-ah!!,surprise
526,543,"Okay, that’s why you didn’t want me to touch him right?",surprise
529,546,Stupid!,anger
530,547,I can’t believe it!,surprise
531,548,God!,anger
537,554,For what? For letting you throw me out of your office?,anger
538,555,You had no,anger
539,556,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger
540,557,"But I told you, I didn’t have the time!",anger
541,558,"Yeah, well you never have the time. I mean, I don’t feel like I even have a girlfriend anymore, Rachel.",anger
542,559,"Wh, Ross what do you want from me?",anger
543,560,"You want me, you want me to quit my job so you can feel like you have a girlfriend?",anger
567,584,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!",anger
572,589,"Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?",anger
588,605,No! Seriously! What’s wrong with you?!,anger
592,609,You're sister? You're sister's asleep on the couch?  Ohhh! I saw,surprise
595,612,"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!",surprise
606,623,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",surprise
608,625,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!",surprise
618,636,That sounds great!,surprise
620,638,"Umm, excuse me, we switched apartments. You can’t eat are food anymore, that-that gravy train had ended.",anger
621,639,There’s gravy?,surprise
653,674,"Bob? Ooh, working here with us? Everyday? Yeah, I don’t know if he has what it takes.",surprise
654,675,Really? They love him down on six.,surprise
659,680,What?,surprise
661,682,You can’t wear that! I’m wearing the famous tux! James Bond’s tux!,anger
664,685,"Sorry, I just don’t like the idea of when I say ""I do,"" he’s thinking, ""Yeah, I’d do her too!""",anger
673,696,What?! No! It was my idea!,anger
675,698,Does calling it not mean anything anymore?!,anger
678,701,Really?,surprise
685,710,What?!?!,surprise
693,718,Oh my God! Are you serious?!,surprise
707,733,"She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!",anger
708,744,"...Dammit, hire the girl!  Okay, everybody ready?",anger
711,747,Me?,surprise
715,751,That's it?,surprise
718,754,"Ok, you weren't there.",anger
724,760,You gotta take the canoe!,anger
726,762,We’re not throwing it away! I built that canoe!,anger
727,763,Good for you!!,anger
731,767,One ticket to Yemen?,surprise
733,769,"I’m sorry sir, I don’t understand.",surprise
744,782,She?,surprise
748,786,Excuse me?,surprise
755,793,Jason is not a sissy!,anger
756,794,"Oh no-no-no-no, I meant Chandler.",anger
772,810,I don’t like sitting up here! I’m just gonna over,anger
773,811,No Rachel! They got here first!,anger
776,814,Oh my God! Why is he jumping on those women!,surprise
780,818,Really?,surprise
787,825,"Oh, please!Honey, just the fact that you want me here to support    you, I'm...OH MY GOD!Is that Christian Sanders?He's so",surprise
798,836,What surprise party?,surprise
802,840,This is so typical. I'm always the last one to know everything.,anger
804,842,Yuh-huh!,anger
805,843,I was the last one to know when Chandler got bitten by the peacock at the zoo.,anger
806,844,I was the last one to know when you had a crush on Joey when he was moving in.,anger
807,845,Looks like I was second to last.,surprise
810,848,Chandler! He’s your father.  he should be at the wedding.,anger
821,862,Who in the hell are you?,anger
824,865,"No, yeah! The groom cannot see the bride!",anger
825,866,I’m not gonna marry Chandler!,anger
826,867,Not after this!,anger
837,878,I thought you didn't smoke.,surprise
840,881,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",surprise
860,901,This sucks! I didn’t know I had to stay up all night before I went to this stupid sleep clinic! I’m so tired!,anger
868,911,"Y’know, they’re not gonna get married anyway!",anger
869,912,What?,surprise
870,913,Come on!,anger
874,919,What the hell is this?!,surprise
875,920,"What, did you actually thought it would make me feel better to give me stuff that I can’t use for another two months?!",anger
876,921,This sucks!,anger
881,927,"Hey, you guys! Take a look at this!  Check this baby out, dug me a hole!",surprise
883,929,Oh no! No!! My hole!!,surprise
885,931,What?! What?!! What is it?!,surprise
892,938,If you’re gonna get all sensitive about it!,anger
903,949,Oh my!,surprise
908,954,What?,surprise
909,955,What are you talking about?!,surprise
910,956,You-you're the one who's been telling me to get over Ross and move on.,anger
914,960,What?,surprise
928,974,That almost hit me in the face.,anger
937,984,"The wedding is off, sloppy and immature!",anger
941,988,Shrill?! The wedding is back on!,anger
947,994,Chandler!,anger
956,1005,No?,surprise
958,1007,"Well then, what is it?!",surprise
964,1013,Really?,surprise
970,1020,"So? Congratulations you two, I didn’t even know you got married.",surprise
973,1023,What?!,surprise
975,1025,Why?!!,surprise
999,1056,"Ha-ha, it’s not my baby, ha-ha-ha!",anger
1011,1068,No!,anger
1015,1072,You should! How is she?,surprise
1016,1073,Ohhh!!,anger
1019,1076,You do?,surprise
1020,1077,"You don’t?  Well, that’s the difference between a professional and a layman.",surprise
1021,1078,That and arrogance.,anger
1028,1085,"When? Today? Some, not a lot.",surprise
1032,1089,It’s happened to you?,surprise
1034,1091,"Well, what’d you do?",surprise
1040,1097,"Come on man, really how old?!",surprise
1042,1099,And they knew about it?,surprise
1043,1100,"Okay, well Ross, what is this really about?",surprise
1044,1101,"Look, this is my home and I want to be able to come and go whenever I want!",anger
1045,1102,"Okay, I will find someplace else to do the rest of my appointments. I just don’t know what the big deal is!",anger
1048,1105,Do you always have to bring him here?,anger
1059,1117,It says here that there’s a place you can go to rent videos of all the museums!,surprise
1067,1125,Nobody sees the king!,anger
1069,1127,Hey! You can’t go back there!,surprise
1070,1128,Oh my God.,surprise
1074,1132,"Wow, you ah, you really like all this space stuff, huh?",surprise
1084,1142,And now you want that money back.,surprise
1087,1145,It’s not a real game! I made it up!,anger
1096,1154,"What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!",surprise
1101,1159,I did,anger
1104,1162,Why? Do you have the answers written on there?,surprise
1120,1181,"Y’know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",anger
1123,1184,"And y'know what, I just realised, in the last year I’ve only gone out with two guys, Richard and Julio.",surprise
1139,1200,I believe I read that somewhere!,surprise
1140,1201,"That only is not funny, it's physically impossible!",anger
1141,1202,Okay?,anger
1142,1203,Depending    on the species I'd have to have a six foot long...,anger
1143,1204,It's not funny!,anger
1145,1207,I can't believe you put that on my alumni page!,anger
1147,1209,You'd better hope not because I just read what you put on your    page today.,anger
1149,1211,Oh oh oh! I RESPECTFULLY DISAGREE!!,anger
1151,1213,"Okay, what is in here? Rocks?",surprise
1157,1219,"Uhh, are you saying that you're not entirely happy about this?",surprise
1170,1232,That’s Carol with your son!,surprise
1172,1234,HEY!! Do you,anger
1176,1238,Stop it! I will kill you. I hate the fact that my room is so small.,anger
1178,1240,"Monica, you don’t even have a bed, you sleep in a ball on the floor!",anger
1183,1245,Shut up! This place is a hole!,anger
1204,1272,"Wow! Yeah I ah, I gave up a job too.",anger
1205,1273,Really. What?,surprise
1206,1274,"Uh, de-clawing cats.",anger
1209,1277,We’ll stop by every news stand and burn every copy of their Times and the Post.,anger
1210,1278,Why the Post?,surprise
1211,1279,"Oh, you didn’t see the Post?",surprise
1225,1293,Really? ‘Cause I could kinda use the money.,surprise
1230,1298,Yeah?,surprise
1235,1305,"No! Sorry, I just thought you were somebody else. Hi!",surprise
1238,1308,"Rach, are you okay?",surprise
1258,1329,Whoa,surprise
1269,1342,"Okay, I have to tell you something that I have never admitted during our entire friendship!",anger
1270,1343,"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",anger
1272,1345,"Okay, you go!",anger
1273,1346,My turn? What-what are you talking about?,surprise
1275,1348,What?!,surprise
1280,1353,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",anger
1282,1355,What?!,surprise
1284,1357,All right. So you're telling me that there is nothing going on between you and Chandler.,anger
1285,1358,Me and Chandler?!,surprise
1288,1361,I don't know! I didn't come with her!,anger
1290,1363,A test?!!,surprise
1294,1367,Somebody went to college. Wow.  What is it? I’m sorry.,surprise
1314,1387,Really?,surprise
1316,1389,"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",surprise
1318,1391,"Hey, I've been honing!",anger
1322,1395,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",anger
1323,1396,"Look look! He's doing it again, the guy with the telescope!",surprise
1324,1397,Oh my God!  Go away!  Stop looking in here!,anger
1328,1401,It creeps me out!,anger
1329,1402,I feel like I can't do stuff!,anger
1332,1405,You cook naked?,surprise
1334,1407,What are you looking at me for? I didn't know that.,surprise
1338,1411,You think you know me so well.,anger
1354,1427,"So what're you saying here? I should shave again, pick up some wine, what?",surprise
1356,1429,This is basically the first time she's gonna see your underwear—you want it to be dirty?,surprise
1359,1432,"Ok, ok, now what is wrong with my",anger
1360,1434,"Ok, so it's just because it was my table, I have to buy a new one?",anger
1362,1436,"What rule? There's no rule, if anything, you owe me a table!",anger
1363,1437,How'd you get to that?,anger
1364,1438,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",anger
1365,1439,You knew about that?,surprise
1373,1447,"Why, are you moving out?",surprise
1377,1451,"Aw, I know all about Kip!",anger
1378,1452,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",anger
1387,1461,You think you can knock up my daughter and then not marry her?! I’m gonna kill you!!,anger
1393,1469,What-wh-what so we’ll just stay married forever?!,surprise
1395,1471,Really?,anger
1402,1479,You are asking me to be your wife!,anger
1404,1481,Oh my God!,surprise
1410,1489,You actually broke her watch?,surprise
1420,1501,What are you doing with the lamp?,surprise
1424,1505,You’re disturbing my oboe practice.,anger
1425,1506,You don’t play the oboe!,anger
1426,1507,I could play the oboe!,anger
1429,1510,"All right that's, that's it!! Get off her!",anger
1430,1511,What is going on?,surprise
1431,1512,What's going on?!  That's what's going on!!,anger
1432,1513,Ross!,surprise
1433,1514,I have been down in your store for twenty minutes trying to get a tie!,anger
1434,1515,What do I have to do to get some service?!,anger
1441,1522,Wow! Uh…how are you?,surprise
1444,1525,Oh you’re serious. Sure!,surprise
1450,1531,Go!,anger
1451,1532,"What? Hey wait a minute! Phoebe, how do you even know who the father is?",surprise
1452,1533,"I may play the fool at times, but I’m a little more than a pretty blond girl with an ass that won’t quit.",anger
1454,1535,"Oh God… Oh, he’s in there right now?",surprise
1457,1538,Really? Are you sure?,surprise
1467,1551,Come on!,surprise
1469,1554,Well I’m peeking.  Oh my God!,surprise
1472,1557,What?!,surprise
1475,1561,Did he tell you?,surprise
1504,1612,You don't trust him?,surprise
1508,1590,Well there’s some people who do want to marry me.,anger
1509,1591,There are?,surprise
1510,1592,Yeah! Richard!,anger
1511,1593,R-R-Richard said he wants to marry you?!  And-and Chandler’s tellin’ ya how much he hates marriage?!,surprise
1514,1596,You just told me that he hates marriage!,surprise
1515,1597,That-that he’s a-a complex fellow who’s unlikely to take a wife!,anger
1516,1598,That-that he’s against marriage and always will be!,anger
1520,1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,surprise
1531,1614,"A TV as if it appears from nowhere! That’s the dream! Man, how did you afford this stuff?",surprise
1552,1636,Wow! This girl is good.,surprise
1553,1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",anger
1557,1641,Look at you. All jealous.,anger
1560,1644,"Okay, see, see, everyone else is happy she’s done.",anger
1570,1654,What?! What else did he say?,surprise
1573,1657,"Ross, no! There is",anger
1575,1659,"Ross, I am a human doodle!!",anger
1582,1671,Oh my God!!! What are you doing?!!,surprise
1585,1674,"Whoa, ah!! We’re you just gonna give me some lemonade?",surprise
1589,1678,Well usually...yeah!,surprise
1598,1687,Ohhh!!!!,surprise
1600,1689,"Oh, look at the little cat!",surprise
1601,1690,What?  Ow!,surprise
1612,1703,What?!,surprise
1614,1705,We’ve been on the road six hours and you’ve been asleep for five and a half!,anger
1615,1706,We are switching at the next rest stop and,anger
1617,1708,Yeah! And until then you are going to sing to me because the radio’s broken and you are selfish but have a nice voice.,anger
1618,1709,Really? I don’t,surprise
1619,1710,Sing!!,anger
1628,1720,What musician?,surprise
1633,1725,"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner?",surprise
1634,1726,"What, what, what is it with you and this holiday?",anger
1639,1731,Oh my god.,surprise
1641,1733,"Hey, who's this little naked guy?",surprise
1643,1735,"Aww, look at the little thing.",surprise
1644,1737,Who are those people?,surprise
1645,1738,Got me.,surprise
1647,1740,"Wow, Monica, you look just like your grandmother. How old was she there?",surprise
1664,1758,What the?!,surprise
1684,1780,I can handle the stick!!,anger
1688,1787,Weirdest thing. Did I hear——Mother of God it’s true!,surprise
1689,1788,Chandler Bing!,surprise
1690,1789,Janice,surprise
1693,1792,Janice I didn’t even know you were pregnant! Who’s the unwitting human who’s essence you’ve stolen?,surprise
1695,1794,What?!,surprise
1698,1797,"Man, I’m starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",anger
1701,1800,Yeah? Really? No one’s home?,surprise
1706,1805,"Well, you should be, this is all your fault! You meddled in our relationship!!",anger
1707,1806,You had no relationship!!,anger
1708,1807,"No, but I was doing my thing and everything was going according to the plan!",anger
1709,1808,"Oh God, stop with the plan!",anger
1711,1810,Who cares?!,anger
1712,1811,That doesn't mean anything!,anger
1720,1820,Phoebe!,surprise
1749,1849,Stupid Jane Rogers!!,anger
1750,1850,You are having a party tonight??,surprise
1752,1852,And you weren't going to tell us? How did you think you were    gonna get away with that?,anger
1754,1854,You do that every year??,surprise
1755,1855,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,anger
1756,1856,"Oh, that's why you got these tickets to that play, to get rid    of us??",anger
1758,1858,And last year is that why you sent us to that medieval times    restaurant?,anger
1760,1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",anger
1761,1861,Who's this from?,surprise
1763,1863,Oh...  Oh my God. He remembered.,surprise
1765,1865,It was like months ago.,surprise
1767,1867,Oh!,surprise
1768,1868,I can't believe he remembered!,surprise
1769,1869,"Oh, it's so pretty. This must have cost him a fortune.",surprise
1770,1870,I can't believe he did this.,surprise
1772,1872,What did you just say?,surprise
1774,1874,Oh.... my God.,surprise
1780,1880,Okay.  Oh! Oh no.,surprise
1782,1882,Um-hmm. Oh wait! This is Bonnie.,surprise
1784,1884,This is Bonnie?  This is Bonnie?  You’re Bonnie?,surprise
1786,1886,"Oh no, I’m sorry, you look a lot different from the last time I-I saw you.",surprise
1793,1894,"No you do—y'know what, you’re not gonna suck me into this.",anger
1794,1895,"Oh sure I am, because you always have to be right.",anger
1795,1896,"I do not always have to be—okay, okay.",anger
1803,1904,Oh my God!  Where the hell have you been?!!,anger
1805,1906,"Ohh, out, oh God, I don't know why we didn't think to check there!",anger
1808,1910,He hooked up! He hooked up with someone.,surprise
1809,1911,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",anger
1820,1924,Hey! Hey! Be careful around my Porsche!,anger
1840,1944,What? Why not? You could make a ton of money.,surprise
1852,1956,Are you serious?  Oh my God.,surprise
1853,1957,Damn! I can’t believe I took her off my list.,anger
1859,1963,"Yeah, well missy, you better be glad that list is laminated.",anger
1863,1967,"Rach, are you really gonna let him do this?",surprise
1867,1972,A-ha!!!,surprise
1869,1974,Excuse me?,surprise
1871,1976,Do I know you?,surprise
1880,1985,Ross!,surprise
1889,1995,Hey!,surprise
1890,1996,Hey!,surprise
1892,1999,"Oh my God, look! That’s Elizabeth!",surprise
1896,2004,No! He blew us off!,anger
1897,2005,What?!,surprise
1898,2006,I know!,surprise
1899,2007,I can’t believe it.  Can I tell you something? I’m a little mad at him now.,anger
1900,2008,Can I tell you something? Me too.,anger
1901,2009,"Y’know what? He didn’t want to talk to us about being angry, well maybe we don’t talk to him",anger
1911,2019,"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I’m going to Florida for a couple weeks.",surprise
1912,2020,No. I think you misunderstood what,surprise
1920,2028,Oh my God.,surprise
1922,2030,"Phoebe, what, what happened here?!",surprise
1924,2032,But my apartment!,surprise
1929,2040,"Phoebe, would you take a look at this mess!!!!",anger
1931,2043,What?! It is?!,surprise
1941,2053,"What? Guys, I'm not.",surprise
1944,2056,Waitressing?,surprise
1953,2065,"Oh, my god.",surprise
1958,2070,"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.",anger
1960,2072,"What? Whoa, whoa whoa whoa, what do you mean,",surprise
1961,2073,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.",anger
1964,2076,"I got it! Hey, you get to sleep with her, I get the cramps.",anger
1966,2078,"All right, that's it. I want both of you out.",anger
1967,2079,Why?,surprise
1968,2080,He started it!,anger
1969,2081,"No, you started it.",anger
1970,2083,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier.",anger
1971,2085,Now go!,anger
1972,2086,Thanks a lot.,anger
1973,2087,See what you did.,anger
1975,2089,Out,anger
1978,2092,Oh my God! No wonder I get such great service at Cafe Maurice.,surprise
1990,2104,"Oh, really.",surprise
1993,2107,"Yeah but, Mischa is so interested in you, that Sergei and I haven’t been able to say two words to each other.",anger
1994,2108,What do you want me to do? Just sit here silently while you three have a conversation?,anger
1998,2112,When did that happen to you?!,surprise
2002,2116,"Oh, damn! I got it on my pants.",anger
2006,2120,"Oh, great!",surprise
2008,2122,That was unbelievable!,surprise
2010,2125,I don't believe they're brother and sister.,surprise
2011,2126,They're brother and sister!!!,surprise
2013,2128,I found the picture!,anger
2014,2129,What picture?!,surprise
2015,2130,The picture of my wife! In your pack!,anger
2016,2131,You went through my personal property?,anger
2017,2132,Why do have a picture of Paulette in your pack?!,anger
2018,2133,"Because Vincent, we were lovers.  For two years!",anger
2032,2149,What?! They wanted a scary story!,surprise
2034,2151,What?,surprise
2036,2153,What happened? You still have the Monica wedding fund don’t you?,surprise
2041,2158,Okay.  Ow!!!!! Ow-oh-oh!,surprise
2042,2159,Was it not pain-free?,surprise
2045,2162,That’s because their nerves are probably deadened from being so stupid.,anger
2047,2164,Ow-ow-ow-ow! Oh my God!!!,surprise
2053,2175,Oh my God! That’s David!,surprise
2056,2178,Oh my God!,surprise
2058,2180,Phoebe?,surprise
2059,2181,David!  What-what are you doing here? Aren’t you supposed to be in Russia?,surprise
2093,2217,"Look umm, of all people, you do not want me to tell this story!",anger
2103,2227,Ohh.,surprise
2138,2263,Why?,surprise
2159,2286,"Hey! Oh right, tonight was your party.",surprise
2167,2294,"Oh, go on! You telling people about me?",surprise
2171,2298,I'm sorry?,surprise
2179,2310,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",anger
2182,2313,You really think I'm ready?,surprise
2186,2317,No!,anger
2201,2332,I don’t have ten minutes!!,anger
2203,2334,"Hey, Ross!!! I told you I don’t!",anger
2209,2340,Oh yeah? When?,surprise
2212,2344,Why won't I be married when I'm 40?,surprise
2214,2346,"Ok, hypothetically, why won't I be married when I'm 40?",anger
2216,2348,What is it? Is there something fundamentally unmarriable about me?,anger
2218,2350,Well?,surprise
2219,2351,Dear God! This parachute is a knapsack!,surprise
2221,2353,"Hey. Ooh, look at you, dressy-dress.",surprise
2222,2354,Did you go home and change?,surprise
2225,2357,"Well, where is he? He is supposed to be here.  What if the baby needs him?",surprise
2230,2362,"What happened to Santa, Holiday Armadillo?",surprise
2234,2367,It’s unbelievable! I-I can’t believe that sign didn’t work!,surprise
2236,2370,Stop making candy!,anger
2239,2374,Is that why you became a chef? So that people would like you?,surprise
2240,2375,"Oh, you really want to talk about getting people to like you huh, funny man?",anger
2241,2376,"We were on the platform, ready to dance the world into the new Millennium, and the guy yelled ‘CUT!’",anger
2242,2377,"Uh, wait, so you guys are telling me you actually did the routine from eighth grade?",surprise
2245,2380,What? We could do it!,surprise
2256,2391,"All right, look, you’re not really gonna buy that are you? Don’t you think you’ve embarrassed me enough for one day?",anger
2257,2392,"Oh, I embarrass you?",surprise
2263,2399,Good choice.,anger
2265,2401,"Okay, wait. All right, that’s it, okay, I’m out of here. I am not going to be embarrassed anymore!",anger
2266,2402,"So! I'm just an empty vase, huh?",surprise
2267,2403,What?,surprise
2268,2404,"Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else.",anger
2270,2406,"Whoa, whoa, whoa.",surprise
2271,2407,You don't even know me...,anger
2272,2408,"Whoa, whoa, whoa, the poem is not about you.",surprise
2273,2409,What?,surprise
2299,2442,"Oh... Mike's sister just invited me to a party tonight, he's gonna be there.",anger
2302,2445,"He's totally ok with seeing you!"".",anger
2304,2447,"Which you're not, because you've totally hung up on him!",anger
2307,2450,"I didn't even think about that!  Aaargh,",anger
2318,2461,That’s why you broke up with me?,surprise
2321,2490,"Ross! Excuse me, pardon me, excuse me....",surprise
2340,2475,Oh my God!,surprise
2342,2477,I’ve been so busy planning the wedding that I forgot about all the things that I’d be giving up!,surprise
2353,2488,Joey! Those are my maternity pants!,surprise
2356,2491,No!,anger
2359,2496,"Okay, I’m next.  Don’t! Don’t start another game! I said I’m next! Phoebe!",anger
2361,2498,Chandler! Phoebe’s hogging the game!,anger
2375,2514,"Wow! It's huge! It's so much bigger than the cubicle. Oh, this is a cube.",surprise
2377,2516,Oh! You have a window!,surprise
2379,2518,Oh look! That guy's peeing!,surprise
2382,2521,"Y'know what? I cannot do this with my left hand! Would you please, help me with this too?",anger
2409,2551,Janice!,surprise
2410,2552,You're not... gone?,surprise
2413,2556,So did you do it?,surprise
2420,2563,"No, no! Give it to me!",anger
2421,2564,You can't have it.,anger
2422,2565,Give it to me!,anger
2423,2566,No,anger
2424,2567,I'll go in there.,anger
2425,2568,Oh yeah.,anger
2428,2571,Damn you Monica Geller hyphen Bing!,anger
2431,2574,"Ethan, focus. How could you not tell me?",surprise
2437,2580,Really?,surprise
2439,2582,"Well,fall out of it.",anger
2440,2583,"You know, you shouldn't even be here, it's a school night.",anger
